id,name,updDesc
10012858,سرهمی زنانه نیو نیل مدل L-306,"This is a loose-fitting jumpsuit with a floral pattern featuring roses and leaves, suitable for casual and party occasions. It has a length below the ankle and is made from natural fibers. The jumpsuit is manufactured in Iran, and the brand is also based in Iran. The neck and sleeve details are not specified, and it has a high crotch."
10062479,شلوار زنانه ال سی وایکیکی مدل W1L292Z8,"This is a flared, knee-length trouser in beige with a regular crotch and a high-waisted design. It is made of acrylic material and features a plain pattern. This trouser is suitable for both sporting and party occasions. The brand and manufacturing are based in Turkey."
10108634,شلوار زنانه مدل سورن دمپا,"This is a flared, below-the-ankle trouser in black, made from cotton fabric with a plain pattern. It has a high crotch, making it suitable for both formal and casual occasions as well as parties. The brand and manufacturing country are unknown."
10162881,شلوار زنانه میس سیکستی مدل کلاسیک پارچه ای,"This is a pair of loose-fitting, ankle-length trousers in black, featuring a striped pattern and gold zippers, with a regular crotch seam. The trousers are made of a blend of polyester and linen materials. They are suitable for various occasions, including sport, casual, formal, and party. The manufacturing country is Italy."
10233794,شلوار زنانه پاتن جامه مدل بگ 101231010266711,"This is a pair of baggy, below-the-ankle trousers in red, featuring a high waistband with four buttons and a regular crotch. The trousers are made of a cotton and linen blend and are suitable for sports, casual wear, and parties. The pattern is plain."
10281908,سرهمی زنانه مانگو مدل 27054762,"This is a regular-fitting, knee-length jumpsuit made of cotton and linen in a plain blue color, featuring a round neck and long sleeves. It has a high-crotch design and frayed hems, making it suitable for various occasions including sport, casual, formal, and party. The jumpsuit is manufactured in Turkey and the brand is based in Spain."
10344049,سرهمی زنانه اسمارا مدل 10344049,"This is a regular-fitting, above-the-ankle black corduroy jumpsuit with a round neckline and sleeveless design, featuring gold buttons. It is made of elastane and cotton thread materials and has a regular crotch. The jumpsuit is patterned and suitable for casual and party occasions. It is from a brand based in Germany."
10448665,شلوار زنانه جین وست مدل کتان کد 501,"This is a tight-fitting trouser in black, made of spandex, nylon, and viscose materials. It features a plain pattern and a visible button on the waistband, with a length reaching to the ankle. The trouser is suitable for casual occasions and is from a brand based in Australia."
10457247,شلوار زنانه مدل 302 هاوین رنگ مشکی,"This is a straight-fit trouser in black, with a length above the ankle and a creased design on the front, suitable for formal, casual, and party occasions. It is made from crepe and Maserati materials and features a regular crotch. The brand and manufacturing countries are unknown."
10488006,شلوار زنانه لاوا استایلیش مدل هیلاری,"This trouser is a flared, below-the-ankle garment in cream color, featuring a high waist and a creased front. It includes the brand label ""LAVA"" and is made of crepe material. The trouser is plain in pattern and suitable for both casual and formal occasions. It is from a brand and manufactured in Iran."
10488446,شلوار زنانه لاوا استایلیش مدل هیلاری,"This is a flared, below-the-ankle trouser in green, made of crepe material. It is designed for both casual and formal occasions and features a high-crotch with no visible pattern or additional design elements. The brand and manufacturing are both based in Iran."
10533175,سرهمی زنانه مدل کره ای پاندا,"This is a loose-fitting, ankle-length jumpsuit made of double cotton material, featuring a printed panda design. It has long sleeves and a round neck, suitable for casual, sport, and party occasions. The jumpsuit is patterned."
10533198,سرهمی زنانه مدل کره ای British bunny,"This is a loose-fitting, oversized jumpsuit made of a double cotton material, featuring a printed rabbit face design. It has long sleeves and a hood with bunny ears, intended for casual wear or sleep. The jumpsuit is patterned and suitable for both casual and sport occasions, with a length that reaches to the ankle."
10533253,شلوار زنانه مدل خرگوشی کاوایی,"This is a loose-fitting, ankle-length jumpsuit in blue and white with printed patterns. It features long sleeves, a round neck, and plush pockets with facial features. The jumpsuit also has a hood with ears and facial features, made of double cotton material. It is patterned and suitable for both sport and casual occasions."
10601483,شلوار زنانه ورومدا مدل 4565,"This is a loose-fitting, above-the-ankle trouser in royal blue, made of linen material. It features a decorative belt buckle and is suitable for casual and party occasions. The pattern is plain."
