id,name,updDesc
10006442,واکس براق کننده کفش گلد کر مدل 021 مایع رنگ سفید,"This is a liquid shoe polish with a glossy finish, made in Turkey and sourced from an Italian brand, alongside a small container that appears to be a sample or applicator for the polish."
10006537,کفش طبی زنانه مدل زیره پیو,"This is a women's orthopedic loafer featuring a flexible, flat outsole with a tread design that reduces pressure and is resistant to wear. It is made from synthetic leather and has a smooth finish along with a visible stitching pattern on the sole. The shoe includes a simple and removable insole that is elastic and orthopedic, and it has a simple closure mechanism. The shoe has a low heel and appears to be designed for casual or business-casual wear. It also features a braided decorative element on the vamp."
10009514,واکس براق کننده کفش آمستریدا مدل VK190,"This is a shoe shining wax from Amstrida, presented in a bottle of amber-colored wax with a red label that includes text. The cap is black and appears to be a screw-top style."
10009840,کفش کوهنوردی سارزی مدل X22,"This is a black and white hiking shoe made of suede with a polyurethane sole that features a tread design and elasticity. It is secured with laces, offering flexibility and is suitable for sports use. The shoe has a thick midsole and a label that seems to indicate the brand."
10016649,دمپایی زنانه پاپا کد Bn-900001,"This is a women's slipper made of synthetic leather. The sole is black with a pink trim at the edge, and the interior lining appears to be a lighter shade of leather. The brand logo is visible on the strap and sole. The design suggests a luxury or designer label, and the style is casual and comfortable."
10016761,دمپایی زنانه پاپا مدل پوش کد Bn-90001,"This is a black slide sandal made of synthetic leather, featuring a houndstooth patterned strap and a red decorative button."
10016776,دمپایی زنانه پاپا کد Be-9002,"This is a pair of women's sandals made of synthetic leather with a plaid pattern, black base, red accents on the strap and sole, and a textured insole with branding."
10016839,دمپایی زنانه پاپا مدل نیکتا پوش کد Pk-9003,This is a women's slide sandal made of synthetic leather featuring a pink woven textile upper with a red decorative button and a black outsole with a textured pattern.
1002036,صندل زنانه شهپر مدل تیراژه 101 کد 03,"This is a women's black, open-toe sandal made of synthetic leather, featuring a crisscross strap design and a block heel suitable for everyday use, with a tan leather lining and a polyurethane sole."
10023592,بند کفش مدل Y-165,"This is a shoe strap made of polyester featuring a braided pattern in yellow and black colors, designed to be attached to the eyelets of shoes. It is produced in Iran."
10026510,کفش زنانه مدل 1234,"This is a pair of women's shoes made from synthetic leather, featuring a zip closure. The design includes a flat heel, making it suitable for everyday wear, office and formal occasions, and parties. The specific type of the shoe is a closed-toe, mid-calf boot."
10033208,قالب کفش مدل دیپلمات نیو کد SVN 010 diplomat  new,"This is a shoe mold made of steel and plastic designed to maintain the shape and cleanliness of dress shoes. The visible aspects include the reddish-brown finish, the metal spring coils that allow for adjustment, and the circular caps on the top ends. There are no visible patterns or designs on the mold, and the closure type is not evident from this angle."
10033221,قالب کفش مدل دیپلمات نیو کد SVN 010 diplomat  new,"This is a pair of silver shoe trees designed to maintain the shape of dress shoes. They are made of steel and plastic, featuring a metallic spring mechanism at the top for adjustment and a ribbed design on the shafts for added grip. The visible parts include the shafts, which are lined with a grey material, and the tips that are shaped to fit into the toe area of the shoes. The heel height is not specified in the image, and there is no visible pattern or design beyond the ribbed texture. The closure type is not discernible from the image provided."
